text,class
 What is the price when there is an event. ,yes
 799 is the price of the event,yes
 I bought it several times. Do you have any small gifts? ,yes
 How many pounds. ,yes
Will it be shipped tomorrow. ,yes
 I want to choose two packages. ,yes
 Is the thickness the same. ,yes
 How much is a catty. ,yes
 Excuses. How much is the price. ,yes
", how much is the discount if I buy 3 bags? Change the price",yes
Which kind of head is better. ,yes
 What courier is sent. ,yes
" By the way, donâ€™t send Shentong. Are you there? ",yes
 The price between brands is also different. ,yes
 Could you please send STO Express? Come to my side. ,yes
I bought two packs and received one. ,yes
 Is it still out of stock now? ,yes
" Dear, do you have any walnuts? ",yes
 Can you help me see it? Itâ€™s inconvenient without a computer. ,yes
 What courier to send. Or put. ,yes
" Replenish the 2 copies I bought before. Give me a few more, please",yes
" Please reduce the shipping fee. The delivery address, dear, thank you very much for your support. Seeing the order you just placed, please check the receipt information in person. If there is no problem, you can pay directly. We will arrange the delivery as soon as possible. I hope you receive the baby poly cost-effective order as soon as possible. It will automatically close within 30 minutes. Oh dear, please pay as soon as possible if you need it. ",yes
 Do you have this whole set of tea trays?,yes
 Are you there? Is the cotton soft towel full cotton or non-woven fabric is a large size? Is there a gift? ,yes
 What is the difference between the two?,yes
 I want one for this model and the double cake first. I will wait until I receive it to see how many sets of quality are required. ,yes
 What express. ,yes
 Is there no activity today? I forgot to buy it yesterday. ,yes
" Hello, there is a difference between wet and dry towels and cotton soft towels. Which two?",yes
 What are the flavors of the dumplings. ,yes
 I just received your order but it seems to be wrong. I bought wet wipes. Is ,yes
 How much is the 6 bags. Participate in your 168 free soap activity. ,yes
 What is the difference between these two. I don&#39;t seem to have paid attention to the next favorite. ,yes
 I have a request for a refund. ,yes
 199 How to get three bags. ,yes
 How many bags are in a box.,yes
How about some beef jerky. ,yes
 What courier to send. ,yes
 there? I want to buy three packs even though it tastes delicious. ,yes
 Can you get a discount if you buy more baby?,yes
How much is the guest officer. ,yes
 I want to buy a cotton towel for wiping baby pp. ,yes
 Do you have any activities at 51. ,yes
 What is the specific activity? ,yes
 Is there a new date? . ,yes
 What is the difference between these models?,yes
Is this a dry towel? ,yes
 is it in a small package. ,yes
 What is the difference between these cotton towels. ,yes
Mmmm dear. What kind of couriers are there for ,yes
 does this come with free shipping?,yes
 Is it still shipping now. ,yes
 When will it be shipped?,yes
 Is the amount correct. ,yes
 How to place an order together. ,yes
 What does it mean to return it for almost a month?,yes
Is this one gone? Will it be shipped today? ,yes
 What is the difference between the two. ,yes
 I want to buy pure cotton,yes
 Do you want to buy 4 bags? The postage is How much. ,yes
" Well, which courier is that.",yes
 I bought a box and I want to buy two more. ,yes
" Hello, I just took a tea knife because I don&#39;t have a YTO here to remind you not to send YTO. Thank you. ",yes
 Can this cotton towel be cheaper. Is ,yes
 is this a gift box,yes
" Oh dear, please help me remove the postage. ",yes
 Can&#39;t I buy it twice? Must one order. ,yes
 Is the whole package like this? Can you take some more pictures for us to see. ,yes
 Will it be broken?,yes
 Please give me the mobile phone number of the courier. . ,yes
I wanted to buy and suddenly said that there was no stock and no confidence. ,yes
Three packs of walnuts and one pack of pistachios are 264 yuan off. Can&#39;t you get a discount of ten yuan? ,yes
 Should I order a few copies for purchasing 20th generation dried durian? ,yes
 is there any discount. Is ,yes
528690173109 Is it pure cotton? ,yes
 how much 100 yuan can you give me. ,yes
 When can I arrive in Yongkang when I place an order today. ,yes
 Is there any difference between the two? The warehouse of the guest official bean paste on the 18th will have new goods tomorrow. ,yes
Is this pure cotton. ,yes
 Is this a large size. ,yes
" You directly tell me which size is small, medium and large. ",yes
 is too small. There are differences in taste. Some are sweet and some are light. ,yes
 I am afraid that you will not refund my money by mail. ,yes
 The specific express delivery is based on the warehouse. ,yes
 Can it be shipped before the new year. ,yes
 I asked if the 2 flavors can be combined in one box and the price can be reduced. I want to buy several boxes. ,yes
 Can the address be changed. ,yes
 What is the discount for buying 12 bags of dried mango and one bag of dried durian. ,yes
" Can I still deliver my goods in two weeks, or I will return it and buy it again. Why did the price increase by 80 last time. ",yes
 Can I buy 2 more bags of 80? What about the old customer? ,yes
 Is this the price of one box or two boxes. ,yes
 Is this pure cotton. ,yes
 Is it non-woven. ,yes
 Are the wipes pure cotton. ,yes
 Is the amount and cream a little lighter than the taste. ,yes
 Is it easier to use tea needles or knives. ,yes
"This is the first time I buy this thing, but I don&#39;t know. If you say the knife is good, then I will listen to you. ",yes
" I got it, why can&#39;t I use it. ",yes
 What should I do if the address is wrong. ,yes
 how do you have a discount for redemption. ,yes
 I want to buy about 20 packs. Is ,yes
 Can I get two 20 yuan coupons? Do I have to place an order separately?,yes
" Hello. This is a popular item in our family. Many relatives are rushing to buy it. Xiaoerjia is taking pictures to reduce inventory. In order to prevent the baby you took from being taken away by other relatives, please take the picture and pay as soon as possible. ",yes
 549235603019 What about this. ,yes
 530746013021 Is this also refundable. ,yes
 Can this youth group ship today. ,yes
 How long can I keep this purchase. ,yes
Is there no activity for this one? 199. ,yes
 Is this the largest size. ,yes
 buy 2 what to get. what express,yes
 Can you send rhyme to express. ,yes
 Please help me change it. ,yes
 I don&#39;t know how to use the stuff in your home for the first time,yes
 Can I buy more dates for cheaper. ,yes
 538872953711 Is this still in stock? Is it new? ,yes
" There is an event on April 5th, right?",yes
" I want to buy a five-pack, can I get a discount. ",yes
 Why is there no coupon for 20 yuan? . ,yes
 Does this have an expiration date? ,yes
 When will it be shipped?,yes
" Well, then I will apply for a refund Please help me refund it. ",yes
 free shipping. ,yes
 I also want to say why the upper and lower halves are not screwed together. ,yes
 I was born in May and bought a 6-layer or a 9-layer?,yes
The 5th floor is about the same. Where are you. ,yes
 There are impurities in the breast milk fresh-keeping bag bought at your home. It is not from the outside. I will engrave it for you according to your friend&#39;s. ,yes
 So if I place an order now will it be shipped today. ,yes
" can you specify the express, I hope it is the postal service. ",yes
The one above is not pure cotton and canâ€™t be used for babies. ,yes
 is non-woven fabric. It is better to use pure cotton for the baby. ,yes
 What material is the non-woven fabric. ,yes
 Thin shell? Which one tastes good? Take a few more packs. ,yes
 You take it apart and see if the inner vacuum package is damaged. ,yes
"Okay, you can take two bags and change the price here. ",yes
 Can I take two more pieces. ,yes
 How are you? Can it be shipped today? ,yes
 Pro over there Have you made an appointment yet? ,yes
 I wanted to buy it again. ,yes
 You can save it first,yes
 Buy two and get what 44265219693. ,yes
 This tissue paper I took,yes
 I see that itâ€™s shipped and I can return it and re-shoot it. ,yes
 Then I will refund and remake. ,yes
" Then don&#39;t buy it next time. Our school is going on holiday, or I will choose to return it. ",yes
 Kiss has already shipped it to you today. It&#39;s here. ,yes
 What is the difference between these two. ,yes
 SF Express delivery. How much does ,yes
 546487395690. Which one is more suitable for newborns or the yellow one. ,yes
 When is the production date and shelf life? ,yes
 This is a soft towel. ,yes
 Are your walnuts new this year? ,yes
 What is the difference between the two. ,yes
 Consider stocking up a large box. bag of money,yes
"It seems to be the same price, so you didn&#39;t give me a discount. ",yes
 I don&#39;t buy it during the Chinese New Year. ,yes
 I opened the bag and put it back in the carton and sent it back. ,yes
 It will still be the old price.,yes
" OK, it can be shipped today, the goods are fresh this year. ",yes
" If we change your mood, please understand my feelings",yes
"Please help me to make a note. When shipping, write the tea set or style. Don&#39;t write the tea knife. ",yes
 Just don&#39;t show the knife on the package information. ,yes
 Is this definitely a new item?,yes
 I ordered two boxes and will send three boxes. ,yes
" Yesterday I took the photo and saw that I was diabetic, so I returned it. Are there any sugar-free ones:. ",yes
 How much is a bag of dried mangoes. ,yes
May I ask if this walnut can be discounted? Is it a 5-jin bag? ,yes
" Which one is better to pry, a large tea needle or a small tea needle. ",yes
 What kind of tea do you want to pry? ,yes
 Do you have postpartum sanitary napkins? ,yes
 556552778128 Can you send it after you take it? ,yes
Can this be used to wash the lower body in confinement? ,yes
 is it? What is the quality of the baby? Is it a solid wood handle? Is it better to use a tea knife or a tea needle for the tea bricks and tea cakes of Pu&#39;er tea? 521521942026 Free shipping when will it be delivered? ,yes
 How can I buy it at 199? Buying is all 79. ,yes
 When will there be an event?,yes
" Ok, you can apply for a refund today. Yesterdayâ€™s photo has been sent to Zhengzhou, Henan. ",yes
" Oh, how can I cancel it and I havenâ€™t returned the goods. I donâ€™t know what to do. ",yes
 Change the price and Iâ€™ll take it. ,yes
 How to use it Can you send a few ziplock bags? ,yes
"Yes, there is a limit of one purchase. ",yes
 Then you can get cash back and donâ€™t need to send red dates. ,yes
" How much? Just kidding, I&#39;m paying now to ship it tomorrow morning. I can guarantee it. ",yes
 I will buy six boxes and get three boxes. ,yes
" You are not limited to the purchase of zongzi, um, dear, when will I be able to buy zongzi from your house if I buy it now. ",yes
 Shipping insurance has to be purchased separately. Return it to get paid. ,yes
 What does order insurance mean. ,yes
 Two copies and five packs of wet wipes. ,yes
" Yes, the kiss fee will be deducted. ",yes
I bought it together. ,yes
 Can you still deliver? ,yes
 Is it possible to make up two bags for me without telling me beforehand. ,yes
" But you sent me the wrong batch of the last batch, I will find someone tomorrow and send a picture I sent it to you, I want to ask if this pin fits, I am giving it away",yes
 Contact the courier to verify it. ,yes
" Can the rice dumplings I bought yesterday arrive today in Wuxi, Jiangsu. ",yes
 This When is the production date of the model. ,yes
 Can you pay cash on delivery? ,yes
Then you should also see that I took two bottles of hand sanitizer. ,yes
" Then there is a courier note, I received this one and I bought it It is covered. ",yes
 The price of the pro-order has been changed and you can pay. ,yes
 It will be shipped as soon as possible. ,yes
 This kind of taste is relatively dry or a little soft. The taste is sweet. ,yes
 Do you have the small package. ,yes
 Is there a free gift? ,yes
 How can I pay if you havenâ€™t changed the price. ,yes
 You took it in two orders. ,yes
" Yes, I know. It&#39;s been two days and I haven&#39;t sent it yet. I understand that you hope to help me hurry up and send it to someone. ",yes
 And this is all cotton what is the difference between the two,yes
 Can you send me one of this hand towel when you ship it again. ,yes
 When will the order be delivered now. ,yes
 Pro will be cheaper. . ,yes
 The price on the coupon is almost the same. ,yes
 Is it free postage if you buy two boxes. ,yes
 I bought it the day after tomorrow. ,yes
 but the pine nuts are not put in two packs of pine nuts are missing. ,yes
 is a pack of pine nuts okay? the. ,yes
My friends asked me to buy more and buy more. Can I buy more? ,yes
" I want to buy another 5 packs, can I not use postal courier? Check the delivery address. ",yes
" If you buy three copies, you are no longer a regular customer. ",yes
 There is no way to reapply.,yes
 When will my refund be processed. When will my refund be processed for me. ,yes
" If you tell me to place an order, thank you dear. ",yes
 Why is there a courier fee of 12 yuan now. ,yes
 I see that the delivery can be returned and re-shot,yes
Are you sure that it does not contain fluorescent agents? ,yes
" Okay, the cotton era I used before was okay, but the price is a bit expensive. Your price does have an advantage, but I donâ€™t know how the quality is. My dear, can I help you. ",yes
" Well, is there any activity recently. ",yes
 Hello. ,yes
 of 2020. ,yes
 of pure cotton no. ,yes
 Has the boss shipped it? Bar. ,yes
"OK, I will place an order later, please use the postal service. Thank you. ",yes
 The production date of dried mango is No. 630. The shelf life is 365 days. . ,yes
 My courier arrived in Jinan on the 7th and it has not been delivered. ,yes
 What do they say about this size is too small,yes
"Hello, I would like to ask what kind of wet wipes are provided. ",yes
 where I will buy more wipes. Itâ€™s easy to use. ,yes
 534574227694 Dry lemonade Is the next one a can or two. ,yes
" Hello, can you get a discount on walnuts? The .  is not the event of Double Eleven",yes
The goods I bought on the 11th have not been affected until now. ,yes
 Which one do you want to take? ,yes
 Is that official account a WeChat account? ,yes
 Why is your cotton soft towel not sealed. ,yes
 is it shipped today? Is  there?,yes
" I can&#39;t revoke the refund request, you can ship it normally. ",yes
 My classmates I&#39;m tired of buying this and wait until you receive it and return it. ,yes
 Please help me deliver the goods as soon as possible. ,yes
 how about that taste Is the packaging the same. ,yes
It is one red and one yellow. ,yes
 is dry. What is the difference between ,yes
 is there any courier. What color is the saliva towel sent by ,yes
" randomly sent. My courier showed the receipt yesterday, but I didn&#39;t receive it. Is ",yes
"If you don&#39;t use the Want Want notification, you just missed it. ",yes
 What about the others? Why don&#39;t you just check them at 2980134819830515. ,yes
 What is the difference between the two products? So expensive. ,yes
 Itâ€™s expensive and not attractive. ,yes
 Canâ€™t apply for a refund now. Are the peeled walnuts authentic?,yes
 I bought Hangpai a few days ago and it is not delicious. It is not suitable for you to give away. This is a gift box. ,yes
 Are you What kind of courier did you send. ,yes
" No, I bought it for my parents and they are not used to the taste. ",yes
 Then you donâ€™t need to be sorry when you get a discount. ,yes
" Oh, itâ€™s better to cover the whole box. ",yes
 Is there a cover for sale. ,yes
 1020 When will the activity be done in 12 packs of soft towel. ,yes
 I will definitely give you publicity. It&#39;s good to ask them to buy it. ,yes
" Then you have to hurry up the express delivery, otherwise it may be too late. If the dumplings can&#39;t catch up, then I will return them to you. Oh. ",yes
 Yesterday I told you that the package was crumpled. Today I took it out and found that it was broken. Every package is wrinkled inside. All have holes. ,yes
 Will it spray water. ,yes
 I couldnâ€™t receive it before the new year. Small package. ,yes
"Dear, I want to buy dried durian again. Is there any discount? Itâ€™s delicious. ",yes
 The price went up. ,yes
" Hey, I took the money to buy it for a friend. ",yes
" Just shoot two boxes and send three boxes, right?",yes
" I saw yesterday that there is still logistics information, but today it is gone, so I ask where you are. ",yes
 You are not Say you will intercept them. ,yes
" Excuse me, after I bought four pieces, I found that the size is a little smaller and I want to return two pieces. No. ",yes
 Can you ship it today. ,yes
Itâ€™s good to send fresh goods. Itâ€™s a gift. You can send it by express. ,yes
 What if you buy two copies. ,yes
 can only buy candied jujube dumplings,yes
 It is owned by the pro-post office. ,yes
 Why did the card stay there for two days. ,yes
 Apply for a refund and I will fill in the logistics information. ,yes
 When will it be shipped. ,yes
" 10 orders have been placed and divided into 3 purchases, please help me to ship them together. Can you ship them today. ",yes
 Is it wrong? Why is 299547665361968 not 229 The first two copies I bought 229 and the last 8 copies were bought at 299. Isnâ€™t it all 229 in 10 copies? ,yes
 Can it be shipped tomorrow? ,yes
 Have the dates been waxed or soaked in medicinal water? When is the production date. ,yes
 Didnâ€™t I take a screenshot for you. Right. ,yes
Can it be shipped today. ,yes
 It is more expensive than the two of you to buy maternity knife paper together. ,yes
 The customer should place an order early and ship it early. ,yes
" Walnuts are cheaper, letâ€™s place an order together. ",yes
 Do you have ebony clips for sale in your store. ,yes
 How many packages are there in total 14. ,yes
" EMS Oh, it is suitable for the weather in autumn and winter. ",yes
 Why hasn&#39;t it arrived yet. ,yes
 Bean paste will be very sweet. ,yes
" Not necessarily, it depends on personal taste, Xiao Er feels just right. ",yes
 Egg yolk meat floss is whole egg yolk or loose egg yolk. ,yes
 I can send it today Goods. ,yes
 Is this a wet towel or a dry cotton towel. ,yes
 Where is my courier and how can I get it? You should be contacted by . ,yes
What should I do if my piece is missing? ,yes
" Dear, I remember that your shop has a plastic cover for wet wipes. Do you have a link? . ",yes
" Then you can send it to me again, don&#39;t send it to the post office, too Slow. ",yes
" Okay, let me ship it for you today",yes
 Has it been shipped yet. ,yes
 Thousands of orders are being sent every day. ,yes
 There is a hole in the cap of a bottle. ,yes
 Are walnuts delicious. ,yes
Can it be opened by hand or without tools. ,yes
 This is guaranteed quality. ,yes
 How many tea leaves can this hold?,yes
Do you have any in stock. ,yes
 How many small bags are in this box. ,yes
 How big is a bag? Do you have any pictures? ,yes
 Help you to remind the shopkeeper. ,yes
 What is the difference between these two wet and dry paper towels. ,yes
" The non-woven fabric below the pure cotton and Pure cotton is almost soft, it absorbs water slowly, the cost performance is much higher than that of pure cotton, it is suitable for a large number of non-woven fabrics, it is easy to expand",yes
 Remember to send gifts. ,yes
 Is this in stock. ,yes
 When will this be shipped. ,yes
 Dates? Can I get the goods in the store at a discount? ,yes
 Can I ship it today?,yes
 Go to the store homepage to get the coupon. ,yes
 I bought two sizes. Is there any gift. ,yes
 Do you have a discount for ten pieces? ,yes
Did you send the wrong color? It should be red. ,yes
 The baby cotton soft towel is good. ,yes
 Is it shipped from Sichuan now?,yes
 Will it be shipped today and so on? ,yes
 I am already a fan and an old customer. Can you send me a small bag this time? I have already bought a lot of yours. Times. ,yes
"This time, I bought two kinds again. ",yes
 12 packs of soft towel for a gift. ,yes
 why are you always waiting for collection. ,yes
"Dear, when will it be shipped? ",yes
 Is there a discount for 2 packs? The price of 2 packs is 170 yuan and sent to Shanghai. ,yes
 I forgot to add the product I just exchanged to the shopping cart. Please change the shipping fee and help me combine the order. ,yes
 Is there still no printing blank? Do you want it? It is aluminized. ,yes
 How much is the discount. ,yes
 Ship as soon as possible. ,yes
 I will exchange two packs of wet wipes. ,yes
 A clip to keep the goods from getting wet. ,yes
 Is there anything else in this house. ,yes
" Okay, don&#39;t forget to change the price of the clip. ",yes
 I can&#39;t send the kiss gift box. ,yes
 A total of five pieces,yes
 there. ,yes
 This is the same as the 12 pack of 119 528941799061,yes
Do you want to send wet wipes if you take this link? 528941799061. ,yes
 When will you be able to deliver the goods?,yes
 Is there any activity recently. ,yes
 Some kissers can pay attention to our shop. ,yes
 Which cotton towel is more cost-effective to buy. ,yes
" Isnâ€™t it Tian Tian and EMS? I have cooperated, can I help you send EMS. ",yes
 The 40% discount you wrote above is not what I deliberately lowered the price. ,yes
How about my cash back. ,yes
" Is this tea needle free shipping? 521521942026. Over 99 free shipping except Ningxia, Qinghai, Inner Mongolia, Hainan, Xinjiang and Tibet. Over 39 free shipping. ",yes
 That&#39;s it. How many laundry tablets did the group send. Can I return it for ,yes
 I donâ€™t feel good about taking one package. Can I return the others? ,yes
" I can buy three copies and send me three addresses, please donâ€™t put it lightly. ",yes
" Okay, please help me and ask if I donâ€™t get a discount, I will not buy so much for the time being. Oh the price",yes
 How long will it take to deliver the order to Xiamen today. ,yes
 528690173109 What is the difference between the two. ,yes
 Can this coupon be stacked. ,yes
 Did my money transfer. ,yes
"Kiss, I want to take this and the anti-overflow breast pad. ",yes
" It shows that it is 200ml in the bag, but the breast milk is actually poured out and put into the bottle. This problem seems to be mentioned in other comments. ",yes
 Isnâ€™t it free shipping insurance? ,yes
Is there a cream flavor. ,yes
" Yes. My dear, if you like the material, pure cotton is good. ",yes
 Is that pure cotton just now. ,yes
 Is there anything the guest can help you? ,yes
 What are the three bags of strawberries for. ,yes
Are you there. ,yes
" I used to buy soft wipes because they were pretty good, so I bought so many of your wipes and stocked them up for the unborn baby to try How can I use so much oil with confidence? ",yes
" Please wash your hands and try again. Generally, there will be no oil. ",yes
 means you can only buy 10 boxes. ,yes
What kind of invoice is the special VAT invoice for 17? And it goes well. ,yes
 The date with the most recent date must be the most recent production. ,yes
 I want to return it and it won&#39;t taste good. ,yes
" Otherwise, I will withdraw and retake it. Now I donâ€™t know when it will arrive. ",yes
" Wait a moment, I will help you contact the express company. ",yes
" And this is food, I am afraid of it It&#39;s broken. ",yes
" Well, please help me quickly. Thank you. The Yuan no threshold coupon is only for nut products. ",yes
Do you have a picture of one big and one small? Let me see if I bought a small one. I see that everyone buys a large one. ,yes
 How long will it take? do you,yes
" Hello, what is the difference between this and the 599 one. Size The size of this 1520. ",yes
 Are you sending a gift. Is ,yes
 I only saw the size of this model I took yesterday. I want pure cotton. Can I exchange it after I receive it 538832022583. ,yes
 is this a gift box. What does ,yes
"Hello dear, what is the product link, please send me. ",yes
" Oh, how long will it take to send it. ",yes
 Can it be shipped today. ,yes
 Two boxes of these dumplings are crushed. ,yes
 Paper towels are running out soon. I want to buy more. Can you give me a discount. ,yes
 kiss when you said you didn&#39;t give me melon seeds and butter. ,yes
 The ones I added to the shopping cart are all pure cotton. ,yes
 Which of these two is more cost-effective. ,yes
 When will the freight other than the freight insurance be replenished to me. ,yes
 I know that he is on my side and he has not sent it to me or sent it properly. ,yes
 is just wanting to buy walnuts. I have been buying them at your house. I want to buy 4 bags and send them to two places. ,yes
" is it better to absorb water than pure cotton. Oh, ",yes
 Can&#39;t you hurry up? I love this dried mango. ,yes
Do you still send walnuts by post now? ,yes
 Why are these dry wipes so small and how to wipe your buttocks in water. ,yes
 Free shipping. ,yes
 Free shipping I will take ten bags immediately. ,yes
 Is there a small package of pure cotton? ,yes
" Can I ship it today? Iâ€™m in a hurry to deliver it, so Iâ€™ll tell you sooner if it canâ€™t be delivered",yes
 Canâ€™t I send something? ,yes
 When will the order be sent I will give a bad review if you send it by post. ,yes
 How much is 350. ,yes
 Can you hurry up and deliver the goods? Our factory is on the 23rd and go back to my hometown for the holiday. ,yes
" Well, I still buy them separately. ",yes
 I want to buy a bag of raw and a bag of cooked. ,yes
 I have something to send. Can&#39;t buy it. ,yes
 is this year&#39;s walnut new?,yes
 how to change the price. ,yes
 When will it be shipped. ,yes
What is the difference between the two. ,yes
 Two orders from different addresses are both positive and cash back two orders. ,yes
 I will pay two yuan for express delivery here. ,yes
 What is the difference between the two. . ,yes
 How does the wet and dry dual use work. ,yes
 When I bought this 299 now 19,yes
 How much is a piece. ,yes
 When will it be shipped today? Mom no more. ,yes
 Can I give me other gifts this time? Can I send two packs of 25 wet wipes. ,yes
 The courier arrived but what should I do if it is damaged. ,yes
 Are you there. ,yes
Is the price of paper walnuts more favorable? ,yes
 Is the tea needle small or large?,yes
I can&#39;t get in touch with the courier. ,yes
 Can you change the price when I take it? ,yes
Is the taste different from the previous one? ,yes
" I have looked at a lot of different sizes, what is the difference",yes
 Can I send it today? ,yes
 I donâ€™t know the exact time it should be. ,yes
 What about the shipping fee for my stuff. ,yes
 When will it be available for you Delivery. ,yes
 What about the clip,yes
 Do you not have free shipping? ,yes
" Hello, when will you help me return the half-price one?",yes
 Help me change the address to this,yes
 Is it still shipped? No one. ,yes
 45471763191 Are these the same? ,yes
What courier to send. ,yes
 Which is better between this and the thickened 2020. ,yes
 Which kind? The taste is better. Can you send a bag of salt and pepper and a bag of original flavor. ,yes
" Oh, what other flavors are there. 5 yuan what logic",yes
Do I want to apply for a refund only. ,yes
 dear What&#39;s the difference with the one with more than 50. ,yes
If there is a quality problem in use. ,yes
 When will it be shipped. ,yes
 Please help me change it and add a 21168 number and then add a 211,yes
 Can we ship it today. ,yes
I mean what is the difference between 30 boxes per order and 3 separate purchases? ,yes
" We are the impulse, the number of orders is different. ",yes
" Then if I buy 6 orders, I have to go to two more express tracking numbers and even more ",yes
 Do you also have free shipping for one? Can you get a discount if you want more. ,yes
" I buy it once Can I get a discount on eight boxes? Last month, I bought ten boxes. My colleagues asked them to buy them for them. I told them it was 82. The money they gave me was also 82. Now the price has risen. Letâ€™s just follow the previous price. ",yes
 there? Is it buy one get one free? ,yes
" How many days will it take to arrive in Jinzhou, Liaoning. ",yes
 Can I get free shipping if it is over 200? ,yes
 Please help me change the shipping fee,yes
 Is the dried mango fresh? When is the production period. ,yes
 How long is the shelf life. ,yes
 Can I ship it today? ,yes
 Why can&#39;t I use the coupon before I place an order. ,yes
 is there so what can I do Be sure to send it out or the others will go back to their hometown at the same time. ,yes
 Can I send it today. ,yes
 When will this be shipped. ,yes
 What is the price of this 520 from the store. ,yes
 What is the express delivery?,yes
" Hello, why don&#39;t you have free shipping now? It used to be free shipping. ",yes
I donâ€™t know when the event will be held again. ,yes
 What courier do you send?,yes
Is it still shipped? ,yes
 Can this be opened by hand? ,yes
 One of the gauze bath towels is 79 and the other is 109. Is the layer one a 9th layer? There is no description on the picture. ,yes
 Why hasn&#39;t my durian arrived yet.,yes
 Is it not a cotton towel? The material is different. ,yes
 Can it be shipped. . ,yes
 I will place an order and help me go there. ,yes
" What is the express delivery? When will the delivery date expire? Everyday express, customer officer, payment before 16 o&#39;clock today is the same day delivery, payment after 16 o&#39;clock is delivery the next day, early shooting and early delivery, the production date is March 12, the shelf life is 6 months, the vacuum packaging is safe and secure. The original taste of zongzi. ",yes
 When is the New Year&#39;s Day event. Excuse me now the event is over. ,yes
What is the discount of 20? We have no activity right now. ,yes
 This is the lowest promotional price 199. ,yes
 express good things are delicious and I will continue to buy. ,yes
" 536433594462 Hello, how many grams is it? ",yes
" Well, can I get one free if I buy four boxes of different scented teas. ",yes
" Ah, what is the event tomorrow? Is there an event for cotton towel?",yes
 Then I will buy it tomorrow. ,yes
 These 2 What&#39;s the difference between the paragraphs. Is ,yes
I ordered 400 without free shipping. ,yes
 Why is there no home page?,yes
 When will it be shipped. ,yes
Where is the dried mango from Thailand? ,yes
 Is there a lot of brushing in it? Is it sweet and meaty? ,yes
 Is the date fresh? Is 5 catties the net weight of walnuts? Why don&#39;t you answer 538872953711538872953711. ,yes
" What is the difference between this soft towel and the one in the green package, which is softer. ",yes
 is there a bigger size. ,yes
 44265219693 Is this cotton? ,yes
 What flavor is it. ,yes
Is this cut knife paper 531512037226. ,yes
 Is this cut knife paper not available? ,yes
 I will buy walnuts again for the New Year. Itâ€™s always cheaper to buy New Yearâ€™s goods,yes
Can you give me something else? ,yes
" Salt and pepper are delicious or milky, and I will ship it today. ",yes
" I have bought 6 boxes of this kind of pepper, salt and milk fragrance in other places. Now the price has risen, and I just saw your home, so try the same. ",yes
 Buy three bags and give one bag to the owner. ,yes
" Yes, I bought 7 tea knives together.",yes
Do you need shipping for this. ,yes
 How do you keep it in the refrigerator? ,yes
79 How to add a trade-in. ,yes
 Why didnâ€™t your family buy two get one free? Why did you send two bags. ,yes
 What should I do now. ,yes
 Is this for a newborn baby. ,yes
 is the mouth and hand wipes?,yes
" Hello, take 2 sets and get 5 pieces of wet wipes, 1 set without gifts. ",yes
 can it be shipped now,yes
 Ask if the second purchase tomorrow will directly reduce 5 yuan. ,yes
" Dear, our current price is already factory direct ",yes
 Can we ship it today. ,yes
Is the production date fresh? ,yes
 What courier? When is the production date of the zongzi. Thank you. ,yes
 Can you send it to me in April. Thank you. ,yes
 Free shipping?,yes
 Can I return my copy? Iâ€™ll re-make 6 packs. ,yes
 Why havenâ€™t I processed the return application yesterday. ,yes
" Please help me, I donâ€™t have permission here. Sorry, due to the huge order volume before the Chinese New Year, it will be shipped within 48 hours according to the chronological order of the order. Don&#39;t be in a hurry to shoot early and ship it early. ",yes
Is there a discount for buying four sets of this. ,yes
 I canâ€™t get free shipping if I buy four or five items. ,yes
" Hello, what is the composition of this wet wipe, is it pure water or does it have disinfectant ingredients in it. ",yes
 Why did the invoice I received contain the details of the supplies? Didnâ€™t it say that it was for daily necessities? ,yes
 how much is the same quality as before. ,yes
 is the same. ,yes
 is there any discount. ,yes
 I want to buy something today,yes
" Dear, do you have wet wipes for postpartum mothers at home? ",yes
 It is the same as last time. Is ,yes
 Didn&#39;t you help me change my address last time? ,yes
 Will it be shipped tomorrow? ,yes
 I bought it. Did you see it. . ,yes
 my purchase has not arrived,yes
 I can shoot it now and deliver it in a few days. ,yes
" I bought one, can I give a small package for a trial 536534099634. ",yes
 Durian can Is there a discount? ,yes
 Will it be shipped today. ,yes
 Where do you send it?,yes
 When will it be sent. ,yes
 Buy two boxes and get one box free. ,yes
 When will it arrive. ,yes
 I want to ask if it can be shipped today. I have already bought it for three days. Can you help me with the delivery today? Orders will be shipped sequentially. ,yes
 Can it be delivered to me before the Chinese New Year. How much is ,yes
 will there be a delivery bill. ,yes
 how many grams per bag. ,yes
 Help me ship it today. ,yes
 Can it be shipped today. ,yes
 We will ship it within 48 hours. What is the size of the walnut. ,yes
 Yesterday the customer told me that 29 is three floors and 32 is five floors. Let me pay first and then give me the price difference. Is ,yes
Is there any discount for the two packs. ,yes
 How to get together and get a good deal over 199 without subtracting 20,yes
 Is this a large size? ,yes
 is that there will be no problem with express delivery this time. ,yes
 What is the size of the packaging bag?,yes
Can you get a discount? The ,yes
 Dear Can you check on the 16th to see if there is a store celebration event. ,yes
 How long is the store celebration? Is there a bag per pound in ,yes
 It tastes better. Did you ship it from Jiaxing? ,yes
 But I want to buy a box of each of the two flavors . ,yes
Can I apply again in the next year? ,yes
 Can I send it out today?,yes
Do you have a sample engraved by other guests? ,yes
 What are these two bottles? ,yes
 Good. I bought 80 packs of 10,yes
 When will it be shipped,yes
 Buy one get one free I bought a bag for the same flavor,yes
